Time,rnti,SFN,nb_cce,ncce,L,format,nof_bits,preamble,ta,dci_payload
1666257032947,65535,5545,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000001000
1666257033002,0,5600,,,,,,,,
1666257033003,65535,5601,15.0,8.0,4.0,2.0,27.0,0.0,0.0,100001011101110101000001000
1666257033182,65535,5780,15.0,8.0,4.0,2.0,27.0,0.0,0.0,100000010010110000100000001
1666257033184,0,5782,,,,,,,,
1666257033185,0,5783,,,,,,,,
1666257033186,0,5784,,,,,,,,
1666257033187,65535,5785,15.0,8.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000001000
1666257033188,0,5786,,,,,,,,
1666257033189,0,5787,,,,,,,,
1666257033190,0,5788,,,,,,,,
1666257033191,0,5789,,,,,,,,
1666257033192,0,5790,,,,,,,,
1666257033193,0,5791,,,,,,,,
1666257033194,0,5792,,,,,,,,
1666257033195,0,5793,,,,,,,,
1666257033196,0,5794,,,,,,,,
1666257033197,0,5795,,,,,,,,
1666257033198,0,5796,,,,,,,,
1666257033199,0,5797,,,,,,,,
1666257033200,0,5798,,,,,,,,
1666257033201,0,5799,,,,,,,,
1666257033202,65535,5800,15.0,8.0,4.0,2.0,27.0,0.0,0.0,100000010010110000100000000
1666257033203,0,5801,,,,,,,,
1666257033204,0,5802,,,,,,,,
1666257033205,0,5803,,,,,,,,
1666257033206,0,5804,,,,,,,,
1666257033207,65535,5805,15.0,8.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000001100
1666257033208,0,5806,,,,,,,,
1666257033209,0,5807,,,,,,,,
1666257033210,0,5808,,,,,,,,
1666257033211,65534,5809,15.0,8.0,4.0,2.0,27.0,0.0,0.0,100001001011000001100000000
1666257033212,0,5810,,,,,,,,
1666257033213,0,5811,,,,,,,,
1666257033214,0,5812,,,,,,,,
1666257033215,0,5813,,,,,,,,
1666257033216,0,5814,,,,,,,,
1666257033217,0,5815,,,,,,,,
1666257033218,0,5816,,,,,,,,
1666257033219,0,5817,,,,,,,,
1666257033220,0,5818,,,,,,,,
1666257033221,0,5819,,,,,,,,
1666257033222,65535,5820,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000000000
1666257033223,0,5821,,,,,,,,
1666257033224,0,5822,,,,,,,,
1666257033225,0,5823,,,,,,,,
1666257033226,0,5824,,,,,,,,
1666257033227,65535,5825,15.0,8.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000000100
1666257033228,0,5826,,,,,,,,
1666257033229,0,5827,,,,,,,,
1666257033230,0,5828,,,,,,,,
1666257033231,0,5829,,,,,,,,
1666257033232,0,5830,,,,,,,,
1666257033233,0,5831,,,,,,,,
1666257033234,0,5832,,,,,,,,
1666257033235,0,5833,,,,,,,,
1666257033236,0,5834,,,,,,,,
1666257033237,0,5835,,,,,,,,
1666257033238,0,5836,,,,,,,,
1666257033239,0,5837,,,,,,,,
1666257033240,0,5838,,,,,,,,
1666257033241,0,5839,,,,,,,,
1666257033242,65535,5840,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000100101100010000000000
1666257033243,0,5841,,,,,,,,
1666257033244,0,5842,,,,,,,,
1666257033245,0,5843,,,,,,,,
1666257033246,0,5844,,,,,,,,
1666257033247,65535,5845,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000000000
1666257033248,0,5846,,,,,,,,
1666257033249,0,5847,,,,,,,,
1666257033250,0,5848,,,,,,,,
1666257033251,0,5849,,,,,,,,
1666257033252,0,5850,,,,,,,,
1666257033253,0,5851,,,,,,,,
1666257033254,0,5852,,,,,,,,
1666257033255,0,5853,,,,,,,,
1666257033256,0,5854,,,,,,,,
1666257033257,0,5855,,,,,,,,
1666257033258,0,5856,,,,,,,,
1666257033259,0,5857,,,,,,,,
1666257033260,0,5858,,,,,,,,
1666257033261,0,5859,,,,,,,,
1666257033262,0,5860,,,,,,,,
1666257033263,0,5861,,,,,,,,
1666257033264,0,5862,,,,,,,,
1666257033265,0,5863,,,,,,,,
1666257033266,0,5864,,,,,,,,
1666257033267,65535,5865,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000001000
1666257033268,0,5866,,,,,,,,
1666257033269,0,5867,,,,,,,,
1666257033270,0,5868,,,,,,,,
1666257033271,0,5869,,,,,,,,
1666257033272,0,5870,,,,,,,,
1666257033273,0,5871,,,,,,,,
1666257033274,0,5872,,,,,,,,
1666257033275,0,5873,,,,,,,,
1666257033276,0,5874,,,,,,,,
1666257033277,0,5875,,,,,,,,
1666257033278,0,5876,,,,,,,,
1666257033279,0,5877,,,,,,,,
1666257033280,0,5878,,,,,,,,
1666257033281,0,5879,,,,,,,,
1666257033282,0,5880,,,,,,,,
1666257033283,0,5881,,,,,,,,
1666257033284,0,5882,,,,,,,,
1666257033285,0,5883,,,,,,,,
1666257033286,0,5884,,,,,,,,
1666257033287,65535,5885,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000001100
1666257033288,2,5886,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000100101100000100000000
1666257033289,0,5887,,,,,,,,
1666257033290,0,5888,,,,,,,,
1666257033291,65534,5889,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100001001011000001100000000
1666257033292,0,5890,,,,,,,,
1666257033293,0,5891,,,,,,,,
1666257033294,0,5892,,,,,,,,
1666257033295,0,5893,,,,,,,,
1666257033296,0,5894,,,,,,,,
1666257033297,0,5895,,,,,,,,
1666257033298,0,5896,,,,,,,,
1666257033299,0,5897,,,,,,,,
1666257033300,0,5898,,,,,,,,
1666257033301,19379,5899,40.0,12.0,2.0,2.0,27.0,25.0,4.0,100011001110010000000010001
1666257033302,0,5900,,,,,,,,
1666257033303,0,5901,,,,,,,,
1666257033304,0,5902,,,,,,,,
1666257033305,0,5903,,,,,,,,
1666257033306,0,5904,,,,,,,,
1666257033307,65535,5905,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000000100
1666257033308,0,5906,,,,,,,,
1666257033309,19379,5907,15.0,8.0,4.0,0.0,27.0,25.0,4.0,000010001001110010110100000
1666257033310,19379,5908,40.0,16.0,8.0,0.0,27.0,25.0,4.0,000010001101010010110100000
1666257033311,19379,5909,40.0,16.0,8.0,0.0,27.0,25.0,4.0,000010001001110010110100000
1666257033312,19379,5910,40.0,8.0,8.0,0.0,27.0,25.0,4.0,000010001100100010110100010
1666257033313,0,5911,,,,,,,,
1666257033314,0,5912,,,,,,,,
1666257033315,19379,5913,40.0,8.0,8.0,0.0,27.0,25.0,4.0,000010001001110010110100010
1666257033316,19379,5914,40.0,24.0,8.0,0.0,27.0,25.0,4.0,000010110010100000010100000
1666257033317,19379,5915,40.0,24.0,8.0,0.0,27.0,25.0,4.0,000010001001110010110100100
1666257033318,19379,5916,65.0,8.0,8.0,6.0,45.0,25.0,4.0,000000100000000000000100100000010000000001000
1666257033319,0,5917,,,,,,,,
1666257033320,0,5918,,,,,,,,
1666257033321,0,5919,,,,,,,,
1666257033322,0,5920,,,,,,,,
1666257033323,65535,5921,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100001011101110101000001000
1666257033324,0,5922,,,,,,,,
1666257033325,0,5923,,,,,,,,
1666257033326,0,5924,,,,,,,,
1666257033327,65535,5925,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000000000
1666257033328,0,5926,,,,,,,,
1666257033329,0,5927,,,,,,,,
1666257033330,0,5928,,,,,,,,
1666257033331,65534,5929,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100010010110000010000000001
1666257033332,0,5930,,,,,,,,
1666257033333,0,5931,,,,,,,,
1666257033334,65535,5932,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100001011101110101000000000
1666257033335,0,5933,,,,,,,,
1666257033336,0,5934,,,,,,,,
1666257033337,0,5935,,,,,,,,
1666257033338,0,5936,,,,,,,,
1666257033339,0,5937,,,,,,,,
1666257033340,0,5938,,,,,,,,
1666257033341,0,5939,,,,,,,,
1666257033342,65535,5940,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000010010110000100000001
1666257033343,0,5941,,,,,,,,
1666257033344,0,5942,,,,,,,,
1666257033345,0,5943,,,,,,,,
1666257033346,0,5944,,,,,,,,
1666257033347,19379,5945,65.0,56.0,8.0,6.0,45.0,25.0,4.0,001000000000000001000101000000010000000001000
1666257033347,65535,5945,65.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000001000
1666257033348,19379,5946,65.0,8.0,8.0,6.0,45.0,25.0,4.0,001010100000000000000101100000010000000001000
1666257033349,0,5947,,,,,,,,
1666257033350,0,5948,,,,,,,,
1666257033351,0,5949,,,,,,,,
1666257033352,0,5950,,,,,,,,
1666257033353,0,5951,,,,,,,,
1666257033354,0,5952,,,,,,,,
1666257033355,19379,5953,40.0,8.0,8.0,0.0,27.0,25.0,4.0,000010110001111001101000010
1666257033356,0,5954,,,,,,,,
1666257033357,19379,5955,40.0,24.0,8.0,0.0,27.0,25.0,4.0,000010110001111001100100000
1666257033358,19379,5956,15.0,12.0,2.0,0.0,27.0,25.0,4.0,000010101011010001100100010
1666257033359,19379,5957,15.0,0.0,8.0,0.0,27.0,25.0,4.0,000010110010111000100100000
1666257033360,19379,5958,15.0,0.0,8.0,0.0,27.0,25.0,4.0,000010110010101001000100000
1666257033361,19379,5959,15.0,12.0,2.0,0.0,27.0,25.0,4.0,000010110001001001010100010
1666257033362,65535,5960,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000010010110000100000000
1666257033363,0,5961,,,,,,,,
1666257033364,0,5962,,,,,,,,
1666257033365,0,5963,,,,,,,,
1666257033366,0,5964,,,,,,,,
1666257033367,65535,5965,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000001100
1666257033368,0,5966,,,,,,,,
1666257033369,0,5967,,,,,,,,
1666257033370,19379,5968,40.0,24.0,8.0,6.0,45.0,25.0,4.0,010111001001011000000110100000010000000001010
1666257033371,65534,5969,65.0,12.0,4.0,2.0,27.0,0.0,0.0,100000100101100000100000000
1666257033372,0,5970,,,,,,,,
1666257033373,0,5971,,,,,,,,
1666257033374,0,5972,,,,,,,,
1666257033375,0,5973,,,,,,,,
1666257033376,0,5974,,,,,,,,
1666257033377,0,5975,,,,,,,,
1666257033378,19379,5976,65.0,8.0,8.0,0.0,27.0,25.0,4.0,000001000011101000010100000
1666257033379,0,5977,,,,,,,,
1666257033380,0,5978,,,,,,,,
1666257033381,0,5979,,,,,,,,
1666257033382,19379,5980,65.0,16.0,8.0,0.0,27.0,25.0,4.0,000001000011101000110100000
1666257033383,19379,5981,65.0,24.0,8.0,0.0,27.0,25.0,4.0,000000111110110100110100000
1666257033384,0,5982,,,,,,,,
1666257033385,0,5983,,,,,,,,
1666257033386,0,5984,,,,,,,,
1666257033387,65535,5985,65.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000000100
1666257033388,19379,5986,65.0,8.0,8.0,0.0,27.0,25.0,4.0,000001001100010000100100000
1666257033389,19379,5987,65.0,48.0,8.0,0.0,27.0,25.0,4.0,000010001001100000010100000
1666257033390,0,5988,,,,,,,,
1666257033391,19379,5989,65.0,48.0,8.0,6.0,45.0,25.0,4.0,000000000000010000000011000000010000000001010
1666257033392,0,5990,,,,,,,,
1666257033393,19379,5991,65.0,24.0,8.0,0.0,27.0,25.0,4.0,000000111110111011000000010
1666257033394,0,5992,,,,,,,,
1666257033395,0,5993,,,,,,,,
1666257033396,0,5994,,,,,,,,
1666257033397,19379,5995,65.0,56.0,8.0,6.0,45.0,25.0,4.0,000000000000001000000111100000010000000001010
1666257033398,0,5996,,,,,,,,
1666257033399,0,5997,,,,,,,,
1666257033400,0,5998,,,,,,,,
1666257033401,0,5999,,,,,,,,
1666257033402,65535,6000,65.0,12.0,4.0,2.0,27.0,0.0,0.0,100000100101100010000000000
1666257033403,0,6001,,,,,,,,
1666257033404,0,6002,,,,,,,,
1666257033405,0,6003,,,,,,,,
1666257033406,0,6004,,,,,,,,
1666257033407,65535,6005,65.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000000000
1666257033408,0,6006,,,,,,,,
1666257033409,0,6007,,,,,,,,
1666257033410,0,6008,,,,,,,,
1666257033411,0,6009,,,,,,,,
1666257033412,0,6010,,,,,,,,
1666257033413,0,6011,,,,,,,,
1666257033414,0,6012,,,,,,,,
1666257033415,0,6013,,,,,,,,
1666257033416,0,6014,,,,,,,,
1666257033417,0,6015,,,,,,,,
1666257033418,0,6016,,,,,,,,
1666257033419,0,6017,,,,,,,,
1666257033420,0,6018,,,,,,,,
1666257033421,0,6019,,,,,,,,
1666257033422,0,6020,,,,,,,,
1666257033423,0,6021,,,,,,,,
1666257033424,0,6022,,,,,,,,
1666257033425,0,6023,,,,,,,,
1666257033426,0,6024,,,,,,,,
1666257033427,65535,6025,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000001000
1666257033428,0,6026,,,,,,,,
1666257033429,0,6027,,,,,,,,
1666257033430,0,6028,,,,,,,,
1666257033431,0,6029,,,,,,,,
1666257033432,0,6030,,,,,,,,
1666257033433,0,6031,,,,,,,,
1666257033434,0,6032,,,,,,,,
1666257033435,0,6033,,,,,,,,
1666257033436,0,6034,,,,,,,,
1666257033437,0,6035,,,,,,,,
1666257033438,0,6036,,,,,,,,
1666257033439,0,6037,,,,,,,,
1666257033440,0,6038,,,,,,,,
1666257033441,0,6039,,,,,,,,
1666257033442,0,6040,,,,,,,,
1666257033443,0,6041,,,,,,,,
1666257033444,0,6042,,,,,,,,
1666257033445,0,6043,,,,,,,,
1666257033446,0,6044,,,,,,,,
1666257033447,65535,6045,40.0,12.0,4.0,2.0,27.0,0.0,0.0,100000111000010011000001100
1666257033448,0,6046,,,,,,,,
1666257033449,0,6047,,,,,,,,
1666257033450,0,6048,,,,,,,,
1666257033451,65534,6049,15.0,8.0,4.0,2.0,27.0,0.0,0.0,100001001011000001100000000
1666257033452,0,6050,,,,,,,,
1666257033453,0,6051,,,,,,,,
1666257033454,0,6052,,,,,,,,
1666257033455,0,6053,,,,,,,,
1666257033456,0,6054,,,,,,,,
