Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1666257032947,65535,5545,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033003,65535,5601,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257033182,65535,5780,2.0,0.0,0.0,1,1,-2,88,-2,2,3
1666257033187,65535,5785,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033202,65535,5800,2.0,0.0,0.0,1,1,-2,56,-2,2,3
1666257033207,65535,5805,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033211,65534,5809,2.0,0.0,0.0,1,3,-2,104,-2,5,2
1666257033222,65535,5820,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033227,65535,5825,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033242,65535,5840,2.0,0.0,0.0,1,4,-2,120,-2,3,3
1666257033247,65535,5845,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033267,65535,5865,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033287,65535,5885,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033288,2,5886,2.0,0.0,0.0,1,1,-2,56,-2,3,1
1666257033291,65534,5889,2.0,0.0,0.0,1,3,-2,104,-2,5,2
1666257033301,19379,5899,2.0,25.0,4.0,1,0,-2,328,-2,12,5
1666257033307,65535,5905,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033309,19379,5907,0.0,25.0,4.0,1,5,-2,680,-2,8,5
1666257033310,19379,5908,0.0,25.0,4.0,1,5,-2,680,-2,8,5
1666257033311,19379,5909,0.0,25.0,4.0,1,5,-2,680,-2,8,5
1666257033312,19379,5910,0.0,25.0,4.0,1,5,-2,680,-2,8,5
1666257033315,19379,5913,0.0,25.0,4.0,1,5,-2,680,-2,8,5
1666257033316,19379,5914,0.0,25.0,4.0,1,0,-2,256,-2,10,5
1666257033317,19379,5915,0.0,25.0,4.0,1,5,-2,680,-2,8,5
1666257033318,19379,5916,6.0,25.0,4.0,1,0,-2,88,-2,4,5
1666257033323,65535,5921,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257033327,65535,5925,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033331,65534,5929,2.0,0.0,0.0,1,4,-2,208,-2,9,2
1666257033334,65535,5932,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257033342,65535,5940,2.0,0.0,0.0,1,1,-2,88,-2,2,3
1666257033347,19379,5945,6.0,25.0,4.0,1,0,-2,208,-2,8,5
1666257033347,65535,5945,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033348,19379,5946,6.0,25.0,4.0,1,0,-2,328,-2,12,5
1666257033355,19379,5953,0.0,25.0,4.0,1,19,-2,4008,-2,10,5
1666257033357,19379,5955,0.0,25.0,4.0,1,19,-2,4008,-2,10,5
1666257033358,19379,5956,0.0,25.0,4.0,1,3,-2,568,-2,10,5
