Time,rnti,SFN,elapsed,CFI,RBmeanllr,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1698072537946,65535,5545,1.72,3,1.64,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072537986,65535,5585,3.36,3,1.99,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538001,65535,5600,3.39,3,2.01,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072538006,65535,5605,2.83,2,1.76,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072538026,65535,5625,0.94,3,1.83,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538030,65534,5629,1.74,3,1.51,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072538046,65535,5645,3.14,2,1.68,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538050,65534,5649,0.93,3,1.9,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072538066,65535,5665,3.81,2,1.75,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538070,65534,5669,0.89,2,1.76,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072538081,65535,5680,0.89,3,2.44,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072538086,65535,5685,1.93,3,1.79,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072538100,5,5699,1.09,2,2.07,2.0,0.0,0.0,1,1,-2,56,-2,6,1
1698072538106,65535,5705,1.73,2,2.41,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538186,65535,5785,0.79,2,2.69,3.0,0.0,0.0,1,13,-2,336,-2,4,3
1698072538200,1571,5799,0.63,3,1.49,0.0,52.0,15.0,1,5,-2,328,-2,4,4
1698072538206,65535,5805,0.73,3,1.54,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538208,1571,5807,1.98,3,1.72,6.0,52.0,15.0,1,0,-2,56,-2,3,4
1698072538226,65535,5825,0.38,3,1.45,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538230,65534,5829,0.31,2,1.47,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072538241,65535,5840,0.45,2,1.81,2.0,0.0,0.0,1,11,-2,376,-2,30,3
1698072538246,65535,5845,0.48,2,1.63,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072538266,65535,5865,0.81,3,2.15,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538270,65534,5869,1.62,2,1.99,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072538286,65535,5885,1.93,3,2.13,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538306,65535,5905,1.04,2,1.76,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538330,65534,5929,1.84,3,2.03,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072538346,65535,5945,1.56,3,2.75,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538406,65535,6005,1.75,3,2.01,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072538410,65534,6009,0.75,3,1.9,2.0,0.0,0.0,1,7,-2,224,-2,18,2
1698072538414,1571,6013,1.21,3,1.69,0.0,52.0,15.0,1,14,-2,744,-2,3,4
1698072538426,65535,6025,0.92,3,2.14,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538450,65534,6049,3.91,3,1.85,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072538466,65535,6065,0.63,2,1.63,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538481,65535,6080,0.32,2,1.7,2.0,0.0,0.0,1,11,-2,376,-2,30,3
1698072538486,65535,6085,0.35,2,1.56,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072538506,65535,6105,0.46,2,1.79,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538606,65535,6205,0.73,2,1.64,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538610,65534,6209,0.97,2,1.89,2.0,0.0,0.0,1,3,-2,104,-2,9,2
1698072538626,65535,6225,0.61,2,1.51,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538641,65535,6240,0.64,2,1.94,2.0,0.0,0.0,1,11,-2,376,-2,30,3
1698072538646,65535,6245,0.64,2,1.77,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072538666,65535,6265,0.58,2,2.28,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538746,65535,6345,2.86,3,1.5,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538766,65535,6365,0.51,3,1.6,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538786,65535,6385,0.63,3,1.84,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538858,1571,6457,0.41,3,2.36,6.0,52.0,15.0,1,0,-2,56,-2,3,4
1698072538859,1571,6458,0.85,3,1.97,6.0,52.0,15.0,1,0,-2,56,-2,3,4
1698072538866,65535,6465,0.53,2,1.68,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072538870,1571,6469,0.21,2,1.76,6.0,52.0,15.0,1,0,-2,56,-2,3,4
1698072538871,1571,6470,0.47,2,1.71,6.0,52.0,15.0,1,2,-2,208,-2,3,4
1698072538881,65535,6480,0.87,2,1.76,2.0,0.0,0.0,1,11,-2,376,-2,30,3
1698072538886,65535,6485,0.79,2,1.59,2.0,0.0,0.0,1,6,-2,176,-2,6,3
